 	1	2
bib_CHUNB56555	0.95	0.025
bib_CHUNB56918	0.95	0.025
bib_CHUNB57375	0.95	0.025
bib_CHUNB57376	0.95	0.025
bib_CHUNB57377	0.95	0.025
bib_CHUNB57378	0.95	0.025
bib_CHUNB64577	0.95	0.025
bib_CHUNB64578	0.95	0.025
bib_CHUNB64579	0.95	0.025
bib_CHUNB64603	0.95	0.025
bib_CHUNB64604	0.95	0.025
bib_CHUNB64605	0.95	0.025
bib_CHUNB64606	0.95	0.025
bib_CHUNB64607	0.95	0.025
bib_CHUNB64609	0.95	0.025
bib_CHUNB64610	0.95	0.025
bib_MZUSP65628	0.95	0.025
bib_MZUSP66105	0.95	0.025
bib_MZUSP78721	0.95	0.025
bib_MZUSP87592	0.95	0.025
bil_MCNR445	0.025	0.95
bil_MCNR522	0.025	0.95
bil_MCNR3277	0.025	0.95
bil_MCNR3557	0.025	0.95
bil_MZUSP5366	0.025	0.95
bil_MZUSP10410	0.025	0.95
bil_MZUSP29698	0.025	0.95
bil_MZUSP39522	0.025	0.95
bil_MZUSP42778	0.025	0.95
bil_CHUNB36171	0.025	0.95
bil_CHUNB36172	0.025	0.95
